Region,Province,Municipality,Covid-19 cases,Case per population
Bangsamoro Autonomous Region in Muslim Mindanao,Maguindanao,Parang,1011,98.2
Bangsamoro Autonomous Region in Muslim Mindanao,Maguindanao,Pagagawan,33,8.8
Bangsamoro Autonomous Region in Muslim Mindanao,Maguindanao,Shariff Saydona Mustapha,21,8.4
Bangsamoro Autonomous Region in Muslim Mindanao,Maguindanao,Datu Unsay,24,18.6
Region IV-B,Marinduque,Santa Cruz,1001,183.0
Region IV-B,Marinduque,Gasan,745,205.8
Region IV-B,Marinduque,Buenavista,511,196.2
Region IV-B,Marinduque,Torrijos,864,283.5
Region IV-B,Marinduque,Mogpog,644,186.6
Region IV-B,Marinduque,Boac ,1487,259.6
Region V,Masbate,San Pascual,65,14.6
Region V,Masbate,Cawayan,236,34.1
Region V,Masbate,Milagros,439,76.3
Region V,Masbate,Batuan,100,68.4
Region V,Masbate,City of Masbate ,1874,179.3
Region V,Masbate,Placer,144,25.6
Region V,Masbate,Palanas,102,37.3
Region V,Masbate,Esperanza,141,80.4
Region V,Masbate,San Jacinto,123,41.4
Region V,Masbate,Monreal,60,23.8
Region V,Masbate,Cataingan,313,61.8
Region V,Masbate,Mobo,414,101.4
Region V,Masbate,Balud,238,59.3
Region V,Masbate,Pio V. Corpuz ,69,29.1
Region V,Masbate,Aroroy,741,83.9
Region V,Masbate,Uson,285,49.9
Region V,Masbate,Claveria,181,43.0
Region V,Masbate,Dimasalang,154,61.8
Region V,Masbate,Mandaon,402,91.1
Region V,Masbate,San Fernando,181,83.8
Region V,Masbate,Baleno,140,48.5
Region X,Misamis Occidental,Calamba,701,301.8
Region X,Misamis Occidental,Ozamiz City,2249,160.3
Region X,Misamis Occidental,Plaridel,869,218.1
Region X,Misamis Occidental,Lopez Jaena,533,209.0
Region X,Misamis Occidental,Panaon,177,163.9
Region X,Misamis Occidental,Sapang Dalaga,384,187.4
Region X,Misamis Occidental,Jimenez,447,154.6
Region X,Misamis Occidental,Tangub City,1538,224.9
Region X,Misamis Occidental,Concepcion,56,60.1
Region X,Misamis Occidental,Oroquieta City ,2290,316.7
Region X,Misamis Occidental,Aloran,579,207.3
Region X,Misamis Occidental,Tudela,700,244.8
Region X,Misamis Occidental,Sinacaban,297,151.0
Region X,Misamis Occidental,Bonifacio,699,202.3
Region X,Misamis Occidental,Clarin,811,206.1
Region X,Misamis Occidental,Baliangao,405,219.7
Region X,Misamis Oriental,Binuangan,149,200.2
Region X,Misamis Oriental,Cagayan De Oro City ,30645,420.7
Region X,Misamis Oriental,Naawan,300,133.7
Region X,Misamis Oriental,Opol,1924,290.1
Region X,Misamis Oriental,Salay,479,159.7
Region X,Misamis Oriental,Alubijid,528,164.2
Region X,Misamis Oriental,Balingoan,138,125.2
Region X,Misamis Oriental,Balingasag,1125,151.2
Region X,Misamis Oriental,Villanueva,686,169.7
Region X,Misamis Oriental,Laguindingan,711,269.7
Region X,Misamis Oriental,Claveria,729,138.9
Region X,Misamis Oriental,Kinoguitan,287,203.7
Region X,Misamis Oriental,City of El Salvador,1381,235.0
Region X,Misamis Oriental,Manticao,453,153.7
Region X,Misamis Oriental,Initao,755,222.7
Region X,Misamis Oriental,Gingoog City,3606,263.8
Region X,Misamis Oriental,Medina,958,269.0
Region X,Misamis Oriental,Talisayan,382,148.3
Region X,Misamis Oriental,Tagoloan,1398,174.1
Region X,Misamis Oriental,Sugbongcogon,262,268.3
Region X,Misamis Oriental,Lugait,341,165.9
Region X,Misamis Oriental,Libertad,218,168.4
Region X,Misamis Oriental,Gitagum,325,181.4
Region X,Misamis Oriental,Lagonglong,335,138.5
Region X,Misamis Oriental,Jasaan,1433,251.2
Region X,Misamis Oriental,Magsaysay ,481,130.7
Cordillera Administrative Region,Mountain Province,Bauko,1811,565.6
Cordillera Administrative Region,Mountain Province,Natonin,416,402.4
Cordillera Administrative Region,Mountain Province,Sagada,1316,1143.4
Cordillera Administrative Region,Mountain Province,Paracelis,1216,390.1
Cordillera Administrative Region,Mountain Province,Besao,815,1185.8
Cordillera Administrative Region,Mountain Province,Bontoc ,2879,1194.4
Cordillera Administrative Region,Mountain Province,Sadanga,264,313.3
Cordillera Administrative Region,Mountain Province,Tadian,1311,677.8
Cordillera Administrative Region,Mountain Province,Barlig,466,971.6
Cordillera Administrative Region,Mountain Province,Sabangan,665,691.2
National Capital Region,NCR,City of Manila,161656,875.5
National Capital Region,NCR,City of Las Piñas,56864,937.9
National Capital Region,NCR,City of Makati,93862,1490.8
National Capital Region,NCR,Taguig City,92639,1044.7
National Capital Region,NCR,Pateros,10733,1645.5
National Capital Region,NCR,City of Muntinlupa,46658,858.6
National Capital Region,NCR,Pasay City,57620,1307.6
National Capital Region,NCR,City of Parañaque,79477,1151.9
National Capital Region,NCR,City of San Juan,23727,1877.9
National Capital Region,NCR,City of Pasig,93922,1169.4
National Capital Region,NCR,City of Mandaluyong,53008,1245.0
National Capital Region,NCR,City of Marikina,43546,954.8
National Capital Region,NCR,Quezon City,270637,914.3
National Capital Region,NCR,City of Valenzuela,52676,736.7
National Capital Region,NCR,City of Navotas,22957,927.4
National Capital Region,NCR,City of Malabon,31082,816.8
National Capital Region,NCR,Caloocan City,88639,533.5
Region VI,Negros Occidental,Sagay City,2220,149.1
Region VI,Negros Occidental,Salvador Benedicto,177,65.7
Region VI,Negros Occidental,San Enrique,552,228.3
Region VI,Negros Occidental,Hinigaran,930,104.6
Region VI,Negros Occidental,Ilog,746,124.6
Region VI,Negros Occidental,Bago City,3798,198.6
Region VI,Negros Occidental,Enrique B. Magalona ,989,153.8
Region VI,Negros Occidental,Hinoba-An ,540,88.7
Region VI,Negros Occidental,Bacolod City ,31215,519.6
Region VI,Negros Occidental,Binalbagan,1459,204.3
Region VI,Negros Occidental,San Carlos City,3066,231.1
Region VI,Negros Occidental,Isabela,823,127.6
Region VI,Negros Occidental,Pontevedra,794,145.7
Region VI,Negros Occidental,City of Talisay,3361,308.6
Region VI,Negros Occidental,City of Victorias,1756,194.9
Region VI,Negros Occidental,Murcia,1310,147.4
Region VI,Negros Occidental,Candoni,389,163.8
Region VI,Negros Occidental,Moises Padilla ,622,143.1
Region VI,Negros Occidental,La Castellana,866,108.9
Region VI,Negros Occidental,Cauayan,836,77.1
Region VI,Negros Occidental,La Carlota City,2206,330.9
Region VI,Negros Occidental,Calatrava,774,93.8
Region VI,Negros Occidental,Cadiz City,2455,154.8
Region VI,Negros Occidental,Pulupandan,884,293.5
Region VI,Negros Occidental,City of Himamaylan,2145,184.5
Region VI,Negros Occidental,City of Kabankalan,3172,158.4
Region VI,Negros Occidental,City of Escalante,996,103.6
Region VI,Negros Occidental,Silay City,3390,259.8
Region VI,Negros Occidental,City of Sipalay,1338,184.7
Region VI,Negros Occidental,Toboso,655,150.8
Region VI,Negros Occidental,Manapla,685,124.4
Region VI,Negros Occidental,Valladolid,826,206.5
Region VII,Negros Oriental,Zamboanguita,526,177.9
Region VII,Negros Oriental,Canlaon City,1122,190.7
Region VII,Negros Oriental,Sibulan,2507,389.6
Region VII,Negros Oriental,Mabinay,670,80.8
Region VII,Negros Oriental,City of Tanjay,1397,169.0
Region VII,Negros Oriental,Bacong,1044,253.4
Region VII,Negros Oriental,Manjuyod,451,100.7
Region VII,Negros Oriental,Valencia ,775,200.1
Region VII,Negros Oriental,Siaton,1335,160.7
Region VII,Negros Oriental,Bais City,931,110.4
Region VII,Negros Oriental,City of Bayawan ,1875,152.8
Region VII,Negros Oriental,Basay,418,146.5
Region VII,Negros Oriental,La Libertad,670,163.1
Region VII,Negros Oriental,Bindoy ,491,121.8
Region VII,Negros Oriental,Pamplona,286,71.9
Region VII,Negros Oriental,Tayasan,298,78.1
Region VII,Negros Oriental,Santa Catalina,1076,138.8
Region VII,Negros Oriental,San Jose,256,116.6
Region VII,Negros Oriental,Dauin,547,182.2
Region VII,Negros Oriental,Jimalalud,349,108.2
Region VII,Negros Oriental,Vallehermoso,441,108.1
Region VII,Negros Oriental,Dumaguete City ,6864,511.8
Region VII,Negros Oriental,City of Guihulngan,946,92.2
Region VII,Negros Oriental,Amlan ,715,280.2
Region VII,Negros Oriental,Ayungon,439,93.2
Region VIII,Northern Samar,Victoria,213,138.7
Region VIII,Northern Samar,San Vicente,22,31.8
Region VIII,Northern Samar,Rosario,95,86.8
Region VIII,Northern Samar,Allen,413,163.7
Region VIII,Northern Samar,Las Navas,93,25.4
Region VIII,Northern Samar,Lope De Vega,177,120.5
Region VIII,Northern Samar,Laoang,241,39.8
Region VIII,Northern Samar,Lavezares,333,113.3
Region VIII,Northern Samar,Lapinig,139,117.4
Region VIII,Northern Samar,Catarman ,1293,132.1
Region VIII,Northern Samar,Silvino Lobos,21,13.9
Region VIII,Northern Samar,San Isidro,281,100.8
Region VIII,Northern Samar,Mondragon,225,54.3
Region VIII,Northern Samar,Catubig,149,46.3
Region VIII,Northern Samar,San Jose,105,59.5
Region VIII,Northern Samar,Mapanas,186,130.7
Region VIII,Northern Samar,Biri,57,50.6
Region VIII,Northern Samar,Palapag,183,53.8
Region VIII,Northern Samar,Pambujan,131,36.9
Region VIII,Northern Samar,San Antonio,99,111.5
Region VIII,Northern Samar,Capul,94,76.3
Region VIII,Northern Samar,Gamay,286,122.4
Region VIII,Northern Samar,Bobon,158,60.9
Region VIII,Northern Samar,San Roque,179,59.9
Region III,Nueva Ecija,Carranglan,344,81.1
Region III,Nueva Ecija,Palayan City ,1592,350.8
Region III,Nueva Ecija,Cabiao,1169,136.1
Region III,Nueva Ecija,Jaen,1147,144.8
Region III,Nueva Ecija,Licab,516,176.3
Region III,Nueva Ecija,Santa Rosa,1500,198.3
Region III,Nueva Ecija,General Mamerto Natividad,681,153.7
Region III,Nueva Ecija,Guimba,2155,168.8
Region III,Nueva Ecija,San Isidro,975,179.3
Region III,Nueva Ecija,General Tinio ,934,167.0
Region III,Nueva Ecija,Bongabon,865,129.4
Region III,Nueva Ecija,San Leonardo,1464,213.6
Region III,Nueva Ecija,Quezon,423,101.1
Region III,Nueva Ecija,San Jose City,3001,198.9
Region III,Nueva Ecija,Santo Domingo,876,143.4
Region III,Nueva Ecija,Aliaga,862,122.5
Region III,Nueva Ecija,City of Gapan,3412,277.5
Region III,Nueva Ecija,Cabanatuan City,10768,329.0
Region III,Nueva Ecija,Cuyapo,752,110.5
Region III,Nueva Ecija,Nampicuan,189,130.6
Region III,Nueva Ecija,Laur,345,90.2
Region III,Nueva Ecija,Llanera,557,131.7
Region III,Nueva Ecija,Rizal,1582,225.4
Region III,Nueva Ecija,Zaragoza,933,175.7
Region III,Nueva Ecija,Pantabangan,353,111.1
Region III,Nueva Ecija,Talugtug,581,230.2
Region III,Nueva Ecija,Peñaranda,329,102.0
Region III,Nueva Ecija,Lupao,474,103.2
Region III,Nueva Ecija,San Antonio,1250,150.5
Region III,Nueva Ecija,Talavera,2961,223.7
Region III,Nueva Ecija,Gabaldon ,260,66.7
Region III,Nueva Ecija,Science City of Muñoz,1505,178.5
Region II,Nueva Vizcaya,Dupax Del Sur,1066,502.3
Region II,Nueva Vizcaya,Ambaguio,167,107.9
Region II,Nueva Vizcaya,Kasibu,2269,543.1
Region II,Nueva Vizcaya,Quezon,1337,555.8
Region II,Nueva Vizcaya,Bagabag,1924,506.5
Region II,Nueva Vizcaya,Diadi,687,357.1
Region II,Nueva Vizcaya,Kayapa,342,129.2
Region II,Nueva Vizcaya,Alfonso Castaneda,514,601.9
Region II,Nueva Vizcaya,Villaverde,715,355.4
Region II,Nueva Vizcaya,Solano,4007,613.8
Region II,Nueva Vizcaya,Aritao,1625,385.1
Region II,Nueva Vizcaya,Bambang,2838,508.7
Region II,Nueva Vizcaya,Bayombong ,4212,622.0
Region II,Nueva Vizcaya,Dupax Del Norte,1094,328.6
Region II,Nueva Vizcaya,Santa Fe,536,293.3
Region IV-B,Occidental Mindoro,Calintaan,465,154.0
Region IV-B,Occidental Mindoro,Abra De Ilog,1082,307.6
Region IV-B,Occidental Mindoro,Lubang,1154,661.8
Region IV-B,Occidental Mindoro,Sablayan,936,101.1
Region IV-B,Occidental Mindoro,Santa Cruz,379,89.4
Region IV-B,Occidental Mindoro,Rizal,208,51.4
Region IV-B,Occidental Mindoro,San Jose,2339,152.6
Region IV-B,Occidental Mindoro,Looc,101,129.5
Region IV-B,Occidental Mindoro,Magsaysay,457,114.9
Region IV-B,Occidental Mindoro,Paluan,248,133.6
Region IV-B,Occidental Mindoro,Mamburao ,1266,265.4
Region IV-B,Oriental Mindoro,Socorro,608,146.2
Region IV-B,Oriental Mindoro,Pinamalayan,1414,156.4
Region IV-B,Oriental Mindoro,Baco,419,105.2
Region IV-B,Oriental Mindoro,Bansud,543,127.3
Region IV-B,Oriental Mindoro,Pola,457,128.9
Region IV-B,Oriental Mindoro,Puerto Galera,353,84.1
Region IV-B,Oriental Mindoro,Mansalay,548,92.7
Region IV-B,Oriental Mindoro,City of Calapan ,4176,286.4
Region IV-B,Oriental Mindoro,Naujan,1405,128.2
Region IV-B,Oriental Mindoro,Bongabong,732,95.1
Region IV-B,Oriental Mindoro,Gloria,877,173.7
Region IV-B,Oriental Mindoro,Bulalacao ,373,84.1
Region IV-B,Oriental Mindoro,Roxas,517,87.9
Region IV-B,Oriental Mindoro,San Teodoro,323,168.9
Region IV-B,Oriental Mindoro,Victoria,691,132.4
Region IV-B,Palawan,Taytay,477,57.2
Region IV-B,Palawan,San Vicente,160,47.8
Region IV-B,Palawan,Rizal ,286,50.9
Region IV-B,Palawan,Sofronio Española,88,23.5
Region IV-B,Palawan,Roxas,434,62.3
Region IV-B,Palawan,Aborlan,359,92.7
Region IV-B,Palawan,Cuyo,683,290.8
Region IV-B,Palawan,Araceli,166,115.0
Region IV-B,Palawan,Busuanga,179,69.9
Region IV-B,Palawan,Narra,697,89.4
Region IV-B,Palawan,Balabac,120,28.2
Region IV-B,Palawan,Brooke'S Point,884,119.5
Region IV-B,Palawan,Magsaysay,54,42.8
Region IV-B,Palawan,Puerto Princesa City ,6443,209.8
Region IV-B,Palawan,Bataraza,596,69.8
Region IV-B,Palawan,Quezon,321,49.2
Region IV-B,Palawan,Agutaya,38,29.5
Region IV-B,Palawan,El Nido ,285,56.4
Region IV-B,Palawan,Coron,656,99.6
Region IV-B,Palawan,Culion,848,365.3
Region IV-B,Palawan,Dumaran,151,64.2
Region IV-B,Palawan,Linapacan,73,44.4
Region IV-B,Palawan,Cagayancillo,40,58.1
Region III,Pampanga,Santa Rita,1545,320.5
Region III,Pampanga,Sasmuan ,387,133.1
Region III,Pampanga,Candaba,2410,201.7
Region III,Pampanga,City of San Fernando ,18758,528.9
Region III,Pampanga,Guagua,4673,362.5
Region III,Pampanga,Floridablanca,3685,271.9
Region III,Pampanga,Santo Tomas,1168,272.6
Region III,Pampanga,Santa Ana,1481,240.7
Region III,Pampanga,Minalin,1034,213.7
Region III,Pampanga,Lubao,3933,226.7
Region III,Pampanga,San Simon,1427,241.1
Region III,Pampanga,Angeles City,20914,451.8
Region III,Pampanga,Porac,3730,265.0
Region III,Pampanga,San Luis,883,150.8
Region III,Pampanga,Bacolor,2053,427.1
Region III,Pampanga,Mexico,4905,282.9
Region III,Pampanga,Mabalacat City,12960,442.0
Region III,Pampanga,Arayat,2489,171.8
Region III,Pampanga,Apalit,2802,239.2
Region III,Pampanga,Macabebe,1333,170.6
Region III,Pampanga,Magalang,2571,207.0
Region III,Pampanga,Masantol,780,134.5
Region I,Pangasinan,Mapandan,641,168.4
Region I,Pangasinan,Sison,1428,272.9
Region I,Pangasinan,Malasiqui,2632,183.9
Region I,Pangasinan,Mangatarem,1272,160.4
Region I,Pangasinan,Mangaldan,2077,183.5
Region I,Pangasinan,San Nicolas,632,158.9
Region I,Pangasinan,Infanta,373,142.1
Region I,Pangasinan,Santo Tomas,242,162.7
Region I,Pangasinan,San Quintin,566,166.6
Region I,Pangasinan,Mabini,303,114.5
Region I,Pangasinan,Labrador,433,161.5
Region I,Pangasinan,Santa Maria,513,149.9
Region I,Pangasinan,San Jacinto,577,130.1
Region I,Pangasinan,Laoac,637,186.7
Region I,Pangasinan,Lingayen ,2210,205.1
Region I,Pangasinan,Santa Barbara,1588,172.3
Region I,Pangasinan,Sual,572,146.3
Region I,Pangasinan,Natividad,353,137.0
Region I,Pangasinan,Dasol,488,155.6
Region I,Pangasinan,San Manuel,707,130.3
Region I,Pangasinan,Binalonan,847,150.2
Region I,Pangasinan,Bani,929,176.6
Region I,Pangasinan,Basista,620,164.5
Region I,Pangasinan,Bautista,551,155.7
Region I,Pangasinan,Bayambang,1767,137.0
Region I,Pangasinan,San Fabian,1297,148.4
Region I,Pangasinan,Binmaley,1588,182.8
Region I,Pangasinan,Bolinao,1027,122.3
Region I,Pangasinan,Urbiztondo,492,88.6
Region I,Pangasinan,Bugallon,1338,178.5
Region I,Pangasinan,Burgos,335,141.1
Region I,Pangasinan,Asingan,1017,175.9
Region I,Pangasinan,Tayug,908,200.7
Region I,Pangasinan,Balungao,431,143.6
Region I,Pangasinan,Pozorrubio,1132,151.5
Region I,Pangasinan,Calasiao,2668,265.5
Region I,Pangasinan,Villasis,1193,183.4
Region I,Pangasinan,Dagupan City,7797,447.3
Region I,Pangasinan,Manaoag,1484,195.1
Region I,Pangasinan,City of Urdaneta,2980,206.1
Region I,Pangasinan,Agno,235,78.5
Region I,Pangasinan,Aguilar,903,200.2
Region I,Pangasinan,Anda,568,136.7
Region I,Pangasinan,Rosales,996,149.3
Region I,Pangasinan,City of Alaminos,1967,197.9
Region I,Pangasinan,Alcala,727,148.6
Region I,Pangasinan,San Carlos City,3524,171.5
Region I,Pangasinan,Umingan,1089,141.3
Region IV-A,Quezon,Alabat,322,202.1
Region IV-A,Quezon,Atimonan,789,122.8
Region IV-A,Quezon,San Narciso,189,37.0
Region IV-A,Quezon,Agdangan,207,162.2
Region IV-A,Quezon,Macalelon,258,94.5
Region IV-A,Quezon,Unisan,358,140.7
Region IV-A,Quezon,Dolores,636,195.6
Region IV-A,Quezon,Lucban,1551,292.1
Region IV-A,Quezon,City of Tayabas,3654,324.3
Region IV-A,Quezon,Tagkawayan,731,135.4
Region IV-A,Quezon,General Luna,196,79.0
Region IV-A,Quezon,General Nakar,225,65.7
Region IV-A,Quezon,Guinayangan,469,106.5
Region IV-A,Quezon,Gumaca,1203,167.2
Region IV-A,Quezon,Catanauan,722,99.2
Region IV-A,Quezon,Infanta,1223,160.5
Region IV-A,Quezon,Candelaria,3234,234.6
Region IV-A,Quezon,Calauag,964,134.2
Region IV-A,Quezon,Jomalig,22,28.7
Region IV-A,Quezon,Tiaong,1800,169.4
Region IV-A,Quezon,Burdeos,132,53.6
Region IV-A,Quezon,Buenavista,163,52.3
Region IV-A,Quezon,Lopez,1223,129.2
Region IV-A,Quezon,Lucena City ,10250,367.5
Region IV-A,Quezon,Real,464,120.0
Region IV-A,Quezon,Sariaya,3472,214.5
Region IV-A,Quezon,Pagbilao,2122,269.6
Region IV-A,Quezon,San Antonio,726,202.3
Region IV-A,Quezon,Panukulan,89,54.3
Region IV-A,Quezon,San Andres,72,19.2
Region IV-A,Quezon,Padre Burgos,211,89.8
Region IV-A,Quezon,Sampaloc,245,179.8
Region IV-A,Quezon,Patnanungan,32,21.3
Region IV-A,Quezon,Mauban,1195,168.1
Region IV-A,Quezon,San Francisco ,275,44.3
Region IV-A,Quezon,Pitogo,280,122.8
Region IV-A,Quezon,Plaridel,143,141.2
Region IV-A,Quezon,Perez,165,129.2
Region IV-A,Quezon,Mulanay,293,52.7
Region IV-A,Quezon,Quezon,331,208.4
Region IV-A,Quezon,Polillo,368,115.3
Region II,Quirino,Cabarroguis ,2028,604.8
Region II,Quirino,Saguday,1140,665.2
Region II,Quirino,Aglipay,1128,367.3
Region II,Quirino,Nagtipunan,712,280.3
Region II,Quirino,Maddela,1841,449.6
Region II,Quirino,Diffun,1807,322.1
Region IV-A,Rizal,Cardona,1869,372.7
Region IV-A,Rizal,Rodriguez ,13551,305.2
Region IV-A,Rizal,City of Antipolo ,43878,494.5
Region IV-A,Rizal,Morong,2038,286.4
Region IV-A,Rizal,Taytay,18773,485.8
Region IV-A,Rizal,Teresa,2454,383.0
Region IV-A,Rizal,Cainta,31577,837.7
Region IV-A,Rizal,Angono,6893,528.2
Region IV-A,Rizal,Binangonan,12109,386.1
Region IV-A,Rizal,Jala-Jala,586,172.3
Region IV-A,Rizal,Pililla,2044,285.7
Region IV-A,Rizal,Baras,2167,247.3
Region IV-A,Rizal,San Mateo,13419,491.0
Region IV-A,Rizal,Tanay,3460,248.2
Region IV-B,Romblon,Corcuera,21,20.8
Region IV-B,Romblon,Ferrol,101,126.2
Region IV-B,Romblon,Concepcion,122,342.6
Region IV-B,Romblon,San Fernando,502,207.7
Region IV-B,Romblon,Odiongan,1421,288.3
Region IV-B,Romblon,Santa Fe,214,120.2
Region IV-B,Romblon,Looc,600,275.2
Region IV-B,Romblon,Calatrava,142,125.2
Region IV-B,Romblon,Santa Maria ,257,285.9
Region IV-B,Romblon,San Andres,144,90.3
Region IV-B,Romblon,Romblon ,874,215.5
Region IV-B,Romblon,San Jose,170,144.6
Region IV-B,Romblon,Cajidiocan,207,89.0
Region IV-B,Romblon,San Agustin,302,125.2
Region IV-B,Romblon,Alcantara,272,158.4
Region IV-B,Romblon,Magdiwang,335,217.7
Region IV-B,Romblon,Banton,31,54.0
Region VIII,Samar,Motiong,111,72.7
Region VIII,Samar,Santa Rita,205,48.4
Region VIII,Samar,Santo Niño,28,22.4
Region VIII,Samar,Villareal,312,113.9
Region VIII,Samar,Jiabong,131,68.2
Region VIII,Samar,Almagro,53,57.2
Region VIII,Samar,Pinabacdao,133,73.3
Region VIII,Samar,Tarangnan,233,90.6
Region VIII,Samar,Gandara,304,86.3
Region VIII,Samar,Calbiga,296,127.0
Region VIII,Samar,Paranas ,368,113.7
Region VIII,Samar,Daram,118,28.4
Region VIII,Samar,Pagsanghan,66,82.9
Region VIII,Samar,Tagapul-An,55,62.5
Region VIII,Samar,City of Catbalogan ,2267,213.0
Region VIII,Samar,Talalora,36,45.8
Region VIII,Samar,Calbayog City,3023,161.7
Region VIII,Samar,Hinabangan,117,85.4
Region VIII,Samar,Basey,668,117.8
Region VIII,Samar,Zumarraga,121,74.3
Region VIII,Samar,Marabut,238,133.4
Region VIII,Samar,Matuguinao,13,17.7
Region VIII,Samar,San Sebastian,59,67.8
Region VIII,Samar,Santa Margarita,308,114.9
Region VIII,Samar,San Jorge,182,103.5
Region VIII,Samar,San Jose De Buan,74,95.3
Region XII,Sarangani,Kiamba,1351,205.4
Region XII,Sarangani,Maitum,1078,244.0
Region XII,Sarangani,Maasim,1002,154.3
Region XII,Sarangani,Malapatan,679,84.1
Region XII,Sarangani,Glan,1293,118.0
Region XII,Sarangani,Malungon,1351,128.1
Region XII,Sarangani,Alabel ,2099,237.7
Region VII,Siquijor,Enrique Villanueva,245,360.8
Region VII,Siquijor,Lazi,424,188.5
Region VII,Siquijor,San Juan,310,189.5
Region VII,Siquijor,Siquijor ,1023,353.8
Region VII,Siquijor,Maria,383,266.2
Region VII,Siquijor,Larena,615,425.5
Region V,Sorsogon,Donsol,358,71.2
Region V,Sorsogon,Juban,472,133.7
Region V,Sorsogon,Casiguran,352,98.9
Region V,Sorsogon,Barcelona,186,88.6
Region V,Sorsogon,Matnog,375,89.3
Region V,Sorsogon,City of Sorsogon ,4061,222.8
Region V,Sorsogon,Bulan,635,60.4
Region V,Sorsogon,Irosin,645,108.8
Region V,Sorsogon,Castilla,356,58.7
Region V,Sorsogon,Prieto Diaz,302,133.4
Region V,Sorsogon,Magallanes,276,73.8
Region V,Sorsogon,Santa Magdalena,112,65.5
Region V,Sorsogon,Pilar,380,50.1
Region V,Sorsogon,Gubat,693,114.9
Region V,Sorsogon,Bulusan,238,99.4
Region XII,South Cotabato,Lake Sebu,731,90.0
Region XII,South Cotabato,Tupi,1427,194.3
Region XII,South Cotabato,Surallah,1978,221.4
Region XII,South Cotabato,City of Koronadal ,8444,432.1
Region XII,South Cotabato,Tantangan,957,209.2
Region XII,South Cotabato,Polomolok,5580,323.3
Region XII,South Cotabato,Norala,1103,236.3
Region XII,South Cotabato,Tampakan,1068,260.4
Region XII,South Cotabato,T'Boli,1161,114.9
Region XII,South Cotabato,General Santos City ,19298,276.7
Region XII,South Cotabato,Santo Niño,737,185.2
Region XII,South Cotabato,Banga,1696,190.2
Region VIII,Southern Leyte,San Juan ,166,111.3
Region VIII,Southern Leyte,San Francisco,199,148.1
Region VIII,Southern Leyte,Padre Burgos,310,277.8
Region VIII,Southern Leyte,Tomas Oppus,234,137.7
Region VIII,Southern Leyte,San Ricardo,164,156.2
Region VIII,Southern Leyte,Sogod,675,141.9
Region VIII,Southern Leyte,Macrohon,647,243.4
Region VIII,Southern Leyte,Malitbog,254,109.2
Region VIII,Southern Leyte,Liloan,189,76.2
Region VIII,Southern Leyte,Libagon,166,108.9
Region VIII,Southern Leyte,Bontoc,313,105.0
Region VIII,Southern Leyte,Anahawan,118,140.0
Region VIII,Southern Leyte,Limasawa,68,109.8
Region VIII,Southern Leyte,Saint Bernard,389,136.9
Region VIII,Southern Leyte,City of Maasin ,1843,210.8
Region VIII,Southern Leyte,Pintuyan,241,236.2
Region VIII,Southern Leyte,Hinundayan,208,167.8
Region VIII,Southern Leyte,Silago,274,208.9
Region VIII,Southern Leyte,Hinunangan,355,121.8
Region XII,Sultan Kudarat,Sen. Ninoy Aquino,278,58.7
Region XII,Sultan Kudarat,Lutayan,232,35.3
Region XII,Sultan Kudarat,Kalamansig,530,104.1
Region XII,Sultan Kudarat,Lambayong ,1199,150.4
Region XII,Sultan Kudarat,President Quirino,462,109.4
Region XII,Sultan Kudarat,Palimbang,248,26.7
Region XII,Sultan Kudarat,Isulan ,1686,172.9
Region XII,Sultan Kudarat,Bagumbayan,582,84.4
Region XII,Sultan Kudarat,Columbio,259,77.3
Region XII,Sultan Kudarat,City of Tacurong,3124,285.8
Region XII,Sultan Kudarat,Esperanza,846,113.3
Region XII,Sultan Kudarat,Lebak,877,96.0
Bangsamoro Autonomous Region in Muslim Mindanao,Sulu,Old Panamao,16,3.2
Bangsamoro Autonomous Region in Muslim Mindanao,Sulu,Indanan,218,23.4
Bangsamoro Autonomous Region in Muslim Mindanao,Sulu,Omar,9,3.2
Bangsamoro Autonomous Region in Muslim Mindanao,Sulu,Maimbung,51,8.6
Bangsamoro Autonomous Region in Muslim Mindanao,Sulu,Panglima Estino ,8,2.3
Bangsamoro Autonomous Region in Muslim Mindanao,Sulu,Jolo ,885,64.5
Bangsamoro Autonomous Region in Muslim Mindanao,Sulu,Parang,48,6.7
Bangsamoro Autonomous Region in Muslim Mindanao,Sulu,Pangutaran,41,11.3
Bangsamoro Autonomous Region in Muslim Mindanao,Sulu,Luuk,27,7.1
Bangsamoro Autonomous Region in Muslim Mindanao,Sulu,Pata,8,3.2
Bangsamoro Autonomous Region in Muslim Mindanao,Sulu,Patikul,213,26.8
Bangsamoro Autonomous Region in Muslim Mindanao,Sulu,Pandami,6,1.8
Bangsamoro Autonomous Region in Muslim Mindanao,Sulu,Siasi,69,8.4
Bangsamoro Autonomous Region in Muslim Mindanao,Sulu,Hadji Panglima Tahil ,4,5.1
Bangsamoro Autonomous Region in Muslim Mindanao,Sulu,Kalingalan Caluang,15,3.8
Bangsamoro Autonomous Region in Muslim Mindanao,Sulu,Talipao,50,5.0
Bangsamoro Autonomous Region in Muslim Mindanao,Sulu,Tongkil,12,3.4
Bangsamoro Autonomous Region in Muslim Mindanao,Sulu,Lugus,6,2.1
Bangsamoro Autonomous Region in Muslim Mindanao,Sulu,Tapul,3,1.4
Region XIII,Surigao Del Norte,Claver,944,262.0
