date,Region,"Case per 100,000"
2021-02-15,CAR,133.0
2021-02-01,CAR,69.0
2021-02-17,CAR,104.0
2021-02-16,CAR,118.0
2021-03-01,CAR,60.0
2021-02-28,CAR,138.0
2021-02-27,CAR,106.0
2021-02-26,CAR,185.0
2021-02-25,CAR,31.0
2021-02-24,CAR,99.0
2021-03-02,CAR,98.0
2021-02-22,CAR,108.0
2021-02-21,CAR,174.0
2021-02-20,CAR,205.0
2021-02-19,CAR,21.0
2021-02-18,CAR,29.0
2021-02-23,CAR,59.0
2022-02-17,CARAGA,34.0
2022-02-16,CARAGA,39.0
2022-02-15,CARAGA,39.0
2022-02-14,CARAGA,49.0
2022-02-06,CARAGA,267.0
2022-02-13,CARAGA,102.0
2022-02-10,CARAGA,88.0
2022-02-11,CARAGA,104.0
2022-02-09,CARAGA,91.0
2022-02-08,CARAGA,96.0
2022-02-07,CARAGA,144.0
2022-02-18,CARAGA,60.0
2022-02-12,CARAGA,99.0
2022-02-19,CARAGA,31.0
2022-02-27,CARAGA,21.0
2022-02-21,CARAGA,10.0
2022-02-22,CARAGA,11.0
2022-02-23,CARAGA,45.0
2022-02-24,CARAGA,28.0
2022-02-25,CARAGA,27.0
2022-02-26,CARAGA,18.0
2022-02-28,CARAGA,6.0
2022-03-01,CARAGA,21.0
2022-03-02,CARAGA,14.0
2022-03-03,CARAGA,17.0
2022-03-04,CARAGA,4.0
2022-03-05,CARAGA,13.0
2022-03-06,CARAGA,14.0
2022-02-05,CARAGA,135.0
2022-02-20,CARAGA,23.0
2022-02-04,CARAGA,233.0
2022-01-03,CARAGA,5.0
2022-02-02,CARAGA,155.0
2022-01-04,CARAGA,8.0
2022-01-05,CARAGA,20.0
2022-01-06,CARAGA,23.0
2022-01-07,CARAGA,74.0
2022-01-08,CARAGA,47.0
2022-01-09,CARAGA,72.0
2022-01-10,CARAGA,58.0
2022-01-11,CARAGA,75.0
2022-01-12,CARAGA,80.0
2022-01-13,CARAGA,156.0
2022-01-14,CARAGA,162.0
2022-01-15,CARAGA,155.0
2022-01-16,CARAGA,287.0
2022-01-17,CARAGA,265.0
2022-01-18,CARAGA,403.0
2022-01-19,CARAGA,85.0
2022-01-20,CARAGA,300.0
2022-01-21,CARAGA,548.0
2022-01-22,CARAGA,528.0
2022-01-23,CARAGA,1120.0
2022-01-24,CARAGA,521.0
2022-01-25,CARAGA,448.0
2022-01-26,CARAGA,429.0
2022-01-27,CARAGA,496.0
2022-01-28,CARAGA,656.0
2022-01-29,CARAGA,206.0
2022-01-30,CARAGA,579.0
2022-01-31,CARAGA,329.0
2022-02-01,CARAGA,198.0
2022-02-03,CARAGA,275.0
2022-03-07,CARAGA,6.0
2022-05-12,CARAGA,2.0
2022-03-09,CARAGA,16.0
2022-04-13,CARAGA,4.0
2022-04-14,CARAGA,5.0
2022-04-15,CARAGA,9.0
2022-04-16,CARAGA,3.0
2022-04-17,CARAGA,1.0
2022-04-18,CARAGA,1.0
2022-04-19,CARAGA,1.0
2022-04-20,CARAGA,6.0
2022-04-21,CARAGA,2.0
2022-04-22,CARAGA,3.0
2022-04-23,CARAGA,1.0
2022-04-24,CARAGA,3.0
2022-04-25,CARAGA,1.0
2022-04-26,CARAGA,0.0
2022-04-12,CARAGA,0.0
2022-04-27,CARAGA,5.0
2022-04-29,CARAGA,2.0
2022-04-30,CARAGA,0.0
2022-05-01,CARAGA,5.0
2022-05-02,CARAGA,0.0
2022-05-03,CARAGA,1.0
2022-05-04,CARAGA,1.0
2022-05-05,CARAGA,2.0
2022-05-06,CARAGA,0.0
2022-05-07,CARAGA,1.0
2022-05-08,CARAGA,3.0
2022-05-09,CARAGA,3.0
2022-05-10,CARAGA,3.0
2022-05-11,CARAGA,3.0
2022-01-02,CARAGA,12.0
2022-04-28,CARAGA,1.0
2022-03-08,CARAGA,3.0
2022-04-11,CARAGA,1.0
2022-04-09,CARAGA,2.0
2022-03-10,CARAGA,6.0
2022-03-11,CARAGA,14.0
2022-03-12,CARAGA,5.0
2022-03-13,CARAGA,7.0
2022-03-14,CARAGA,8.0
2022-03-15,CARAGA,13.0
2022-03-16,CARAGA,5.0
2022-03-17,CARAGA,13.0
2022-03-18,CARAGA,4.0
2022-03-19,CARAGA,0.0
2022-03-20,CARAGA,5.0
2022-03-21,CARAGA,13.0
2022-03-22,CARAGA,1.0
2022-03-23,CARAGA,7.0
2022-04-10,CARAGA,0.0
2022-03-24,CARAGA,7.0
2022-03-26,CARAGA,6.0
2022-03-27,CARAGA,8.0
2022-03-28,CARAGA,6.0
2022-03-29,CARAGA,1.0
2022-03-30,CARAGA,7.0
2022-03-31,CARAGA,2.0
2022-04-01,CARAGA,4.0
2022-04-02,CARAGA,3.0
2022-04-03,CARAGA,7.0
2022-04-04,CARAGA,2.0
2022-04-05,CARAGA,2.0
2022-04-06,CARAGA,4.0
2022-04-07,CARAGA,7.0
2022-04-08,CARAGA,4.0
2022-03-25,CARAGA,6.0
2022-01-01,CARAGA,9.0
2021-10-27,CARAGA,19.0
2021-12-30,CARAGA,2.0
2021-09-24,CARAGA,720.0
2021-09-25,CARAGA,174.0
2021-09-26,CARAGA,491.0
2021-09-27,CARAGA,788.0
2021-09-28,CARAGA,305.0
2021-09-29,CARAGA,320.0
2021-09-30,CARAGA,383.0
2021-10-01,CARAGA,107.0
2021-10-02,CARAGA,337.0
2021-10-03,CARAGA,302.0
2021-10-04,CARAGA,175.0
2021-10-05,CARAGA,92.0
2021-10-06,CARAGA,267.0
2021-10-07,CARAGA,217.0
2021-10-08,CARAGA,252.0
2021-10-09,CARAGA,158.0
2021-10-10,CARAGA,284.0
2021-10-11,CARAGA,184.0
2021-10-12,CARAGA,69.0
2021-10-13,CARAGA,175.0
2021-10-14,CARAGA,153.0
2021-10-15,CARAGA,207.0
2021-10-16,CARAGA,261.0
2021-10-17,CARAGA,150.0
2021-10-18,CARAGA,71.0
2021-10-19,CARAGA,50.0
2021-10-20,CARAGA,123.0
2021-10-21,CARAGA,112.0
2021-10-22,CARAGA,135.0
2021-09-23,CARAGA,366.0
2021-09-22,CARAGA,230.0
2021-09-21,CARAGA,765.0
2021-09-20,CARAGA,588.0
2022-05-13,CARAGA,5.0
2021-08-22,CARAGA,224.0
2021-08-23,CARAGA,221.0
2021-08-24,CARAGA,209.0
2021-08-25,CARAGA,115.0
2021-08-26,CARAGA,222.0
2021-08-27,CARAGA,281.0
2021-08-28,CARAGA,333.0
2021-08-29,CARAGA,370.0
2021-08-30,CARAGA,298.0
2021-08-31,CARAGA,289.0
2021-09-01,CARAGA,153.0
2021-09-02,CARAGA,242.0
2021-09-03,CARAGA,334.0
2021-10-23,CARAGA,94.0
2021-09-04,CARAGA,391.0
2021-09-06,CARAGA,604.0
2021-09-07,CARAGA,291.0
2021-09-08,CARAGA,371.0
2021-09-09,CARAGA,547.0
2021-09-10,CARAGA,510.0
2021-09-11,CARAGA,557.0
2021-09-12,CARAGA,587.0
2021-09-13,CARAGA,527.0
2021-09-14,CARAGA,434.0
2021-09-15,CARAGA,559.0
2021-09-16,CARAGA,363.0
2021-09-17,CARAGA,397.0
2021-09-18,CARAGA,538.0
2021-09-19,CARAGA,694.0
2021-09-05,CARAGA,501.0
2021-12-31,CARAGA,11.0
2021-10-24,CARAGA,282.0
2021-10-26,CARAGA,44.0
2021-12-01,CARAGA,9.0
2021-12-02,CARAGA,15.0
2021-12-03,CARAGA,23.0
2021-12-04,CARAGA,12.0
2021-12-05,CARAGA,47.0
2021-12-06,CARAGA,16.0
2021-12-07,CARAGA,6.0
2021-12-08,CARAGA,5.0
2021-12-09,CARAGA,16.0
2021-12-10,CARAGA,19.0
2021-12-11,CARAGA,8.0
2021-12-12,CARAGA,13.0
2021-12-13,CARAGA,23.0
2021-12-14,CARAGA,5.0
2021-12-15,CARAGA,3.0
2021-12-16,CARAGA,4.0
2021-12-17,CARAGA,13.0
2021-12-18,CARAGA,6.0
2021-12-19,CARAGA,4.0
2021-12-20,CARAGA,1.0
2021-12-21,CARAGA,4.0
2021-12-22,CARAGA,7.0
2021-12-23,CARAGA,2.0
2021-12-24,CARAGA,4.0
2021-12-25,CARAGA,6.0
2021-12-26,CARAGA,0.0
2021-12-27,CARAGA,4.0
2021-12-28,CARAGA,14.0
2021-12-29,CARAGA,3.0
2021-11-30,CARAGA,8.0
2021-11-29,CARAGA,25.0
2021-11-28,CARAGA,36.0
2021-11-27,CARAGA,15.0
2021-10-28,CARAGA,415.0
2021-10-29,CARAGA,62.0
2021-10-30,CARAGA,49.0
2021-10-31,CARAGA,51.0
2021-11-01,CARAGA,72.0
2021-11-02,CARAGA,25.0
2021-11-03,CARAGA,23.0
2021-11-04,CARAGA,37.0
2021-11-05,CARAGA,48.0
2021-11-06,CARAGA,46.0
2021-11-07,CARAGA,94.0
2021-11-08,CARAGA,61.0
2021-11-09,CARAGA,26.0
2021-11-10,CARAGA,46.0
2021-10-25,CARAGA,42.0
2021-11-11,CARAGA,58.0
2021-11-13,CARAGA,27.0
2021-11-14,CARAGA,57.0
2021-11-15,CARAGA,33.0
2021-11-16,CARAGA,21.0
2021-11-17,CARAGA,16.0
2021-11-18,CARAGA,31.0
2021-11-19,CARAGA,46.0
2021-11-20,CARAGA,11.0
2021-11-21,CARAGA,30.0
2021-11-22,CARAGA,30.0
2021-11-23,CARAGA,28.0
2021-11-24,CARAGA,20.0
2021-11-25,CARAGA,30.0
2021-11-26,CARAGA,12.0
2021-11-12,CARAGA,44.0
2022-05-14,CARAGA,2.0
2022-09-24,CARAGA,36.0
2022-05-16,CARAGA,1.0
2022-11-01,CARAGA,1.0
2022-11-02,CARAGA,7.0
2022-11-03,CARAGA,17.0
2022-11-04,CARAGA,18.0
2022-11-05,CARAGA,37.0
2022-11-06,CARAGA,14.0
2022-11-07,CARAGA,14.0
2022-11-08,CARAGA,1.0
2022-11-09,CARAGA,38.0
2022-11-10,CARAGA,20.0
2022-11-11,CARAGA,15.0
2022-11-12,CARAGA,15.0
2022-11-13,CARAGA,33.0
2022-11-14,CARAGA,6.0
2022-11-15,CARAGA,25.0
2022-11-16,CARAGA,14.0
2022-11-17,CARAGA,14.0
2022-11-18,CARAGA,30.0
2022-11-19,CARAGA,11.0
2022-11-20,CARAGA,24.0
2022-11-21,CARAGA,17.0
2022-11-22,CARAGA,11.0
2022-11-23,CARAGA,11.0
2022-11-24,CARAGA,28.0
2022-11-25,CARAGA,8.0
2022-11-26,CARAGA,32.0
2022-11-27,CARAGA,11.0
2022-11-28,CARAGA,5.0
2022-11-29,CARAGA,19.0
2022-10-31,CARAGA,16.0
2022-10-30,CARAGA,15.0
2022-10-29,CARAGA,18.0
2022-10-28,CARAGA,24.0
2022-09-28,CARAGA,18.0
2022-09-29,CARAGA,33.0
2022-09-30,CARAGA,21.0
2022-10-01,CARAGA,32.0
2022-10-02,CARAGA,35.0
2022-10-03,CARAGA,24.0
2022-10-04,CARAGA,15.0
2022-10-05,CARAGA,19.0
2022-10-06,CARAGA,13.0
2022-10-07,CARAGA,30.0
2022-10-08,CARAGA,21.0
2022-10-09,CARAGA,28.0
2022-10-10,CARAGA,15.0
2022-10-11,CARAGA,24.0
2022-11-30,CARAGA,18.0
2022-10-12,CARAGA,17.0
2022-10-14,CARAGA,24.0
2022-10-15,CARAGA,33.0
2022-10-16,CARAGA,47.0
2022-10-17,CARAGA,28.0
2022-10-18,CARAGA,27.0
2022-10-19,CARAGA,10.0
2022-10-20,CARAGA,26.0
2022-10-21,CARAGA,28.0
2022-10-22,CARAGA,15.0
2022-10-23,CARAGA,12.0
2022-10-24,CARAGA,27.0
2022-10-25,CARAGA,17.0
2022-10-26,CARAGA,17.0
2022-10-27,CARAGA,26.0
2022-10-13,CARAGA,30.0
2022-09-27,CARAGA,18.0
2022-12-01,CARAGA,16.0
2022-12-03,CARAGA,12.0
2023-01-07,CARAGA,7.0
2023-01-08,CARAGA,8.0
2023-01-09,CARAGA,10.0
2023-01-10,CARAGA,2.0
2023-01-11,CARAGA,13.0
2023-01-12,CARAGA,12.0
2023-01-13,CARAGA,11.0
2023-01-14,CARAGA,7.0
2023-01-15,CARAGA,10.0
2023-01-16,CARAGA,5.0
2023-01-17,CARAGA,4.0
2023-01-18,CARAGA,3.0
2023-01-19,CARAGA,12.0
2023-01-20,CARAGA,18.0
2023-01-21,CARAGA,3.0
2023-01-22,CARAGA,17.0
2023-01-23,CARAGA,12.0
2023-01-24,CARAGA,3.0
2023-01-25,CARAGA,5.0
2023-01-26,CARAGA,11.0
2023-01-27,CARAGA,10.0
2023-01-28,CARAGA,8.0
2023-01-29,CARAGA,10.0
2023-01-30,CARAGA,15.0
2023-01-31,CARAGA,4.0
2023-02-01,CARAGA,11.0
2023-02-02,CARAGA,3.0
2023-02-03,CARAGA,11.0
2023-02-04,CARAGA,6.0
2023-01-06,CARAGA,13.0
2023-01-05,CARAGA,5.0
2023-01-04,CARAGA,4.0
2023-01-03,CARAGA,2.0
2022-12-04,CARAGA,8.0
2022-12-05,CARAGA,13.0
2022-12-06,CARAGA,6.0
2022-12-07,CARAGA,7.0
2022-12-08,CARAGA,15.0
2022-12-09,CARAGA,18.0
2022-12-10,CARAGA,12.0
2022-12-11,CARAGA,13.0
2022-12-12,CARAGA,15.0
2022-12-13,CARAGA,12.0
2022-12-14,CARAGA,6.0
2022-12-15,CARAGA,10.0
2022-12-16,CARAGA,16.0
2022-12-17,CARAGA,17.0
2022-12-02,CARAGA,27.0
2022-12-18,CARAGA,12.0
2022-12-20,CARAGA,11.0
2022-12-21,CARAGA,7.0
2022-12-22,CARAGA,12.0
2022-12-23,CARAGA,7.0
2022-12-24,CARAGA,13.0
2022-12-25,CARAGA,8.0
2022-12-26,CARAGA,10.0
2022-12-27,CARAGA,4.0
2022-12-28,CARAGA,3.0
2022-12-29,CARAGA,5.0
2022-12-30,CARAGA,8.0
2022-12-31,CARAGA,9.0
2023-01-01,CARAGA,4.0
2023-01-02,CARAGA,5.0
2022-12-19,CARAGA,5.0
2022-05-15,CARAGA,2.0
2022-09-26,CARAGA,35.0
2021-08-21,CARAGA,146.0
2022-06-20,CARAGA,1.0
2022-06-21,CARAGA,3.0
2022-06-22,CARAGA,2.0
2022-06-23,CARAGA,4.0
2022-06-24,CARAGA,4.0
2022-06-25,CARAGA,3.0
2022-06-26,CARAGA,6.0
2022-06-27,CARAGA,5.0
2022-06-28,CARAGA,4.0
2022-06-29,CARAGA,0.0
2022-06-30,CARAGA,2.0
2022-07-01,CARAGA,6.0
2022-07-02,CARAGA,6.0
2022-07-03,CARAGA,5.0
2022-07-04,CARAGA,6.0
2022-07-05,CARAGA,1.0
2022-07-06,CARAGA,4.0
2022-07-07,CARAGA,9.0
2022-07-08,CARAGA,3.0
2022-07-09,CARAGA,6.0
2022-07-10,CARAGA,17.0
2022-07-11,CARAGA,13.0
2022-07-12,CARAGA,8.0
2022-07-13,CARAGA,2.0
2022-07-14,CARAGA,9.0
2022-07-15,CARAGA,12.0
2022-07-16,CARAGA,18.0
2022-07-17,CARAGA,17.0
2022-07-18,CARAGA,17.0
2022-06-19,CARAGA,5.0
2022-06-18,CARAGA,11.0
2022-06-17,CARAGA,5.0
2022-06-16,CARAGA,0.0
2022-05-17,CARAGA,2.0
2022-05-18,CARAGA,1.0
2022-05-19,CARAGA,2.0
2022-05-20,CARAGA,4.0
2022-05-21,CARAGA,4.0
2022-05-22,CARAGA,5.0
2022-05-23,CARAGA,5.0
2022-05-24,CARAGA,4.0
2022-05-25,CARAGA,1.0
2022-05-26,CARAGA,4.0
2022-05-27,CARAGA,7.0
2022-05-28,CARAGA,1.0
2022-05-29,CARAGA,3.0
2022-05-30,CARAGA,3.0
2022-07-19,CARAGA,17.0
2022-05-31,CARAGA,3.0
2022-06-02,CARAGA,8.0
2022-06-03,CARAGA,3.0
2022-06-04,CARAGA,2.0
2022-06-05,CARAGA,2.0
2022-06-06,CARAGA,1.0
2022-06-07,CARAGA,3.0
2022-06-08,CARAGA,2.0
2022-06-09,CARAGA,4.0
2022-06-10,CARAGA,4.0
2022-06-11,CARAGA,2.0
2022-06-12,CARAGA,2.0
2022-06-13,CARAGA,0.0
2022-06-14,CARAGA,1.0
2022-06-15,CARAGA,1.0
2022-06-01,CARAGA,0.0
2022-09-25,CARAGA,44.0
2022-07-20,CARAGA,4.0
2022-07-22,CARAGA,32.0
2022-08-26,CARAGA,35.0
2022-08-27,CARAGA,29.0
2022-08-28,CARAGA,46.0
2022-08-29,CARAGA,59.0
2022-08-30,CARAGA,52.0
2022-08-31,CARAGA,26.0
2022-09-01,CARAGA,19.0
2022-09-02,CARAGA,62.0
2022-09-03,CARAGA,24.0
2022-09-04,CARAGA,26.0
2022-09-05,CARAGA,40.0
2022-09-06,CARAGA,19.0
2022-09-07,CARAGA,20.0
2022-09-08,CARAGA,30.0
2022-09-09,CARAGA,15.0
2022-09-10,CARAGA,42.0
2022-09-11,CARAGA,17.0
2022-09-12,CARAGA,22.0
2022-09-13,CARAGA,46.0
2022-09-14,CARAGA,19.0
2022-09-15,CARAGA,19.0
2022-09-16,CARAGA,30.0
2022-09-17,CARAGA,21.0
2022-09-18,CARAGA,41.0
2022-09-19,CARAGA,42.0
2022-09-20,CARAGA,22.0
2022-09-21,CARAGA,23.0
2022-09-22,CARAGA,22.0
2022-09-23,CARAGA,31.0
2022-08-25,CARAGA,55.0
2022-08-24,CARAGA,31.0
2022-08-23,CARAGA,41.0
2022-08-22,CARAGA,73.0
2022-07-23,CARAGA,15.0
2022-07-24,CARAGA,39.0
2022-07-25,CARAGA,20.0
2022-07-26,CARAGA,26.0
2022-07-27,CARAGA,14.0
2022-07-28,CARAGA,33.0
2022-07-29,CARAGA,32.0
2022-07-30,CARAGA,16.0
2022-07-31,CARAGA,50.0
2022-08-01,CARAGA,37.0
2022-08-02,CARAGA,21.0
2022-08-03,CARAGA,29.0
2022-08-04,CARAGA,55.0
2022-08-05,CARAGA,47.0
2022-07-21,CARAGA,14.0
2022-08-06,CARAGA,49.0
2022-08-08,CARAGA,63.0
2022-08-09,CARAGA,35.0
2022-08-10,CARAGA,38.0
2022-08-11,CARAGA,70.0
2022-08-12,CARAGA,81.0
2022-08-13,CARAGA,60.0
2022-08-14,CARAGA,50.0
2022-08-15,CARAGA,43.0
2022-08-16,CARAGA,40.0
2022-08-17,CARAGA,45.0
2022-08-18,CARAGA,56.0
2022-08-19,CARAGA,79.0
2022-08-20,CARAGA,30.0
2022-08-21,CARAGA,56.0
2022-08-07,CARAGA,86.0
2021-08-20,CARAGA,247.0
2020-11-24,CARAGA,34.0
2021-08-18,CARAGA,81.0
2020-08-18,CARAGA,6.0
2020-08-19,CARAGA,5.0
2020-08-20,CARAGA,5.0
2020-08-21,CARAGA,10.0
2020-08-22,CARAGA,9.0
2020-08-23,CARAGA,31.0
2020-08-24,CARAGA,12.0
2020-08-25,CARAGA,3.0
2020-08-26,CARAGA,37.0
2020-08-27,CARAGA,14.0
2020-08-28,CARAGA,9.0
2020-08-29,CARAGA,8.0
2020-08-30,CARAGA,19.0
2020-08-31,CARAGA,1.0
2020-09-01,CARAGA,4.0
2020-09-02,CARAGA,23.0
2020-09-03,CARAGA,24.0
2020-09-04,CARAGA,30.0
2020-09-05,CARAGA,2.0
2020-09-06,CARAGA,24.0
2020-09-07,CARAGA,29.0
2020-09-08,CARAGA,29.0
2020-09-09,CARAGA,16.0
2020-09-10,CARAGA,11.0
2020-09-11,CARAGA,33.0
2020-09-12,CARAGA,7.0
2020-09-13,CARAGA,41.0
2020-09-14,CARAGA,0.0
2020-09-15,CARAGA,5.0
2020-08-17,CARAGA,20.0
2020-09-16,CARAGA,63.0
2020-08-16,CARAGA,2.0
2020-08-14,CARAGA,9.0
2020-07-16,CARAGA,2.0
2020-07-17,CARAGA,0.0
2020-07-18,CARAGA,0.0
2020-07-19,CARAGA,1.0
2020-07-20,CARAGA,0.0
2020-07-21,CARAGA,2.0
2020-07-22,CARAGA,10.0
2020-07-23,CARAGA,6.0
2020-07-24,CARAGA,3.0
2020-07-25,CARAGA,1.0
2020-07-26,CARAGA,0.0
2020-07-27,CARAGA,0.0
2020-07-28,CARAGA,15.0
2020-07-29,CARAGA,1.0
2020-07-30,CARAGA,2.0
2020-07-31,CARAGA,4.0
2020-08-01,CARAGA,17.0
2020-08-02,CARAGA,12.0
2020-08-03,CARAGA,17.0
2020-08-04,CARAGA,30.0
2020-08-05,CARAGA,21.0
2020-08-06,CARAGA,28.0
2020-08-07,CARAGA,14.0
2020-08-08,CARAGA,1.0
2020-08-09,CARAGA,11.0
2020-08-10,CARAGA,11.0
2020-08-11,CARAGA,0.0
2020-08-12,CARAGA,2.0
2020-08-13,CARAGA,1.0
2020-08-15,CARAGA,1.0
2020-09-17,CARAGA,64.0
2020-09-18,CARAGA,31.0
2020-09-19,CARAGA,15.0
2020-10-24,CARAGA,46.0
2020-10-25,CARAGA,63.0
2020-10-26,CARAGA,19.0
2020-10-27,CARAGA,24.0
2020-10-28,CARAGA,52.0
2020-10-29,CARAGA,24.0
2020-10-30,CARAGA,12.0
2020-10-31,CARAGA,59.0
2020-11-01,CARAGA,48.0
2020-11-02,CARAGA,19.0
2020-11-03,CARAGA,15.0
2020-11-04,CARAGA,30.0
2020-11-05,CARAGA,9.0
2020-11-06,CARAGA,42.0
2020-11-07,CARAGA,29.0
2020-11-08,CARAGA,36.0
2020-11-09,CARAGA,23.0
2020-11-10,CARAGA,17.0
2020-11-11,CARAGA,16.0
2020-11-12,CARAGA,28.0
2020-11-13,CARAGA,20.0
2020-11-14,CARAGA,49.0
2020-11-15,CARAGA,28.0
2020-11-16,CARAGA,26.0
2020-11-17,CARAGA,23.0
2020-11-18,CARAGA,24.0
2020-11-19,CARAGA,21.0
2020-11-20,CARAGA,52.0
2020-11-21,CARAGA,29.0
2020-10-23,CARAGA,77.0
2020-10-22,CARAGA,48.0
2020-10-21,CARAGA,59.0
2020-10-20,CARAGA,66.0
2020-09-20,CARAGA,11.0
2020-09-21,CARAGA,26.0
2020-09-22,CARAGA,63.0
2020-09-23,CARAGA,19.0
2020-09-24,CARAGA,67.0
2020-09-25,CARAGA,38.0
2020-09-26,CARAGA,48.0
2020-09-27,CARAGA,24.0
2020-09-28,CARAGA,19.0
2020-09-29,CARAGA,48.0
2020-09-30,CARAGA,65.0
2020-10-01,CARAGA,35.0
2020-10-02,CARAGA,24.0
2020-10-03,CARAGA,62.0
2020-07-15,CARAGA,0.0
2020-10-04,CARAGA,43.0
2020-10-06,CARAGA,20.0
2020-10-07,CARAGA,52.0
2020-10-08,CARAGA,68.0
2020-10-09,CARAGA,30.0
2020-10-10,CARAGA,61.0
2020-10-11,CARAGA,121.0
2020-10-12,CARAGA,37.0
2020-10-13,CARAGA,21.0
2020-10-14,CARAGA,84.0
2020-10-15,CARAGA,35.0
2020-10-16,CARAGA,48.0
2020-10-17,CARAGA,40.0
2020-10-18,CARAGA,13.0
2020-10-19,CARAGA,64.0
2020-10-05,CARAGA,63.0
2020-07-14,CARAGA,1.0
2020-07-13,CARAGA,0.0
2020-07-12,CARAGA,8.0
2020-04-07,CARAGA,0.0
2020-04-08,CARAGA,1.0
2020-04-09,CARAGA,0.0
2020-04-10,CARAGA,0.0
2020-04-11,CARAGA,0.0
2020-04-12,CARAGA,0.0
2020-04-13,CARAGA,0.0
2020-04-14,CARAGA,0.0
2020-04-15,CARAGA,0.0
2020-04-16,CARAGA,0.0
2020-04-17,CARAGA,0.0
2020-04-18,CARAGA,0.0
2020-04-19,CARAGA,1.0
2020-04-20,CARAGA,0.0
2020-04-21,CARAGA,0.0
2020-04-22,CARAGA,0.0
2020-04-23,CARAGA,1.0
2020-04-24,CARAGA,1.0
2020-04-25,CARAGA,0.0
2020-04-26,CARAGA,0.0
2020-04-27,CARAGA,0.0
2020-04-28,CARAGA,0.0
2020-04-29,CARAGA,0.0
2020-04-30,CARAGA,0.0
2020-05-01,CARAGA,0.0
2020-05-02,CARAGA,0.0
2020-05-03,CARAGA,0.0
2020-05-04,CARAGA,0.0
2020-05-05,CARAGA,0.0
2020-04-06,CARAGA,0.0
2020-04-05,CARAGA,0.0
2020-04-04,CARAGA,0.0
2020-04-03,CARAGA,0.0
2020-02-03,CARAGA,0.0
2020-02-05,CARAGA,0.0
2020-03-06,CARAGA,0.0
2020-03-07,CARAGA,0.0
2020-03-08,CARAGA,0.0
2020-03-09,CARAGA,0.0
2020-03-10,CARAGA,0.0
2020-03-11,CARAGA,1.0
2020-03-12,CARAGA,0.0
2020-03-13,CARAGA,0.0
2020-03-14,CARAGA,0.0
2020-03-15,CARAGA,0.0
2020-03-16,CARAGA,0.0
2020-03-17,CARAGA,0.0
2020-05-06,CARAGA,0.0
2020-03-18,CARAGA,0.0
2020-03-20,CARAGA,0.0
2020-03-21,CARAGA,0.0
2020-03-22,CARAGA,0.0
2020-03-23,CARAGA,0.0
2020-03-24,CARAGA,0.0
2020-03-25,CARAGA,0.0
2020-03-26,CARAGA,0.0
2020-03-27,CARAGA,0.0
2020-03-28,CARAGA,0.0
2020-03-29,CARAGA,1.0
2020-03-30,CARAGA,0.0
2020-03-31,CARAGA,0.0
2020-04-01,CARAGA,0.0
2020-04-02,CARAGA,0.0
2020-03-19,CARAGA,0.0
2020-11-22,CARAGA,43.0
2020-05-07,CARAGA,0.0
2020-05-09,CARAGA,0.0
2020-06-13,CARAGA,0.0
2020-06-14,CARAGA,0.0
2020-06-15,CARAGA,0.0
2020-06-16,CARAGA,0.0
2020-06-17,CARAGA,0.0
2020-06-18,CARAGA,0.0
2020-06-19,CARAGA,3.0
2020-06-20,CARAGA,0.0
2020-06-21,CARAGA,0.0
2020-06-22,CARAGA,1.0
2020-06-23,CARAGA,2.0
2020-06-24,CARAGA,1.0
2020-06-25,CARAGA,8.0
2020-06-26,CARAGA,12.0
2020-06-27,CARAGA,2.0
2020-06-28,CARAGA,0.0
2020-06-29,CARAGA,1.0
2020-06-30,CARAGA,2.0
2020-07-01,CARAGA,0.0
2020-07-02,CARAGA,1.0
2020-07-03,CARAGA,2.0
2020-07-04,CARAGA,20.0
2020-07-05,CARAGA,2.0
2020-07-06,CARAGA,0.0
2020-07-07,CARAGA,0.0
2020-07-08,CARAGA,5.0
2020-07-09,CARAGA,15.0
2020-07-10,CARAGA,1.0
2020-07-11,CARAGA,0.0
2020-06-12,CARAGA,2.0
2020-06-11,CARAGA,1.0
2020-06-10,CARAGA,0.0
2020-06-09,CARAGA,0.0
2020-05-10,CARAGA,0.0
2020-05-11,CARAGA,0.0
2020-05-12,CARAGA,0.0
2020-05-13,CARAGA,0.0
2020-05-14,CARAGA,0.0
2020-05-15,CARAGA,0.0
2020-05-16,CARAGA,0.0
2020-05-17,CARAGA,0.0
2020-05-18,CARAGA,0.0
2020-05-19,CARAGA,0.0
2020-05-20,CARAGA,0.0
2020-05-21,CARAGA,0.0
2020-05-22,CARAGA,0.0
2020-05-23,CARAGA,1.0
2020-05-08,CARAGA,0.0
2020-05-24,CARAGA,1.0
2020-05-26,CARAGA,0.0
2020-05-27,CARAGA,1.0
2020-05-28,CARAGA,0.0
2020-05-29,CARAGA,1.0
2020-05-30,CARAGA,0.0
2020-05-31,CARAGA,1.0
2020-06-01,CARAGA,0.0
2020-06-02,CARAGA,0.0
2020-06-03,CARAGA,0.0
2020-06-04,CARAGA,2.0
2020-06-05,CARAGA,0.0
2020-06-06,CARAGA,0.0
2020-06-07,CARAGA,0.0
2020-06-08,CARAGA,0.0
2020-05-25,CARAGA,0.0
2020-11-23,CARAGA,47.0
2020-01-30,CARAGA,0.0
2021-08-19,CARAGA,183.0
2021-05-14,CARAGA,149.0
2021-05-15,CARAGA,94.0
2021-05-16,CARAGA,164.0
2021-05-17,CARAGA,79.0
